glycerophosphoserines [GP03]	1z-alkenylglycerophosphoserines [GP0307]
1z-alkenylglycerophosphoserines [GP0307]	LION:0000058
glycerophospholipids [GP]	glycerophosphoglycerols [GP04]
glycerophosphoglycerols [GP04]	diacylglycerophosphoglycerols [GP0401]
diacylglycerophosphoglycerols [GP0401]	LION:0000059
glycerophosphoglycerols [GP04]	1-alkyl,2-acylglycerophosphoglycerols [GP0402]
1-alkyl,2-acylglycerophosphoglycerols [GP0402]	LION:0000060
glycerophosphoglycerols [GP04]	1-(1z-alkenyl),2-acylglycerophosphoglycerols [GP0403]
1-(1z-alkenyl),2-acylglycerophosphoglycerols [GP0403]	LION:0000061
glycerophosphoglycerols [GP04]	dialkylglycerophosphoglycerols [GP0404]
dialkylglycerophosphoglycerols [GP0404]	LION:0000062
glycerophosphoglycerols [GP04]	monoacylglycerophosphoglycerols [GP0405]
monoacylglycerophosphoglycerols [GP0405]	LION:0000063
glycerophosphoglycerols [GP04]	monoalkylglycerophosphoglycerols [GP0406]
monoalkylglycerophosphoglycerols [GP0406]	LION:0000064
glycerophosphoglycerols [GP04]	1z-alkenylglycerophosphoglycerols [GP0407]
1z-alkenylglycerophosphoglycerols [GP0407]	LION:0000065
glycerophosphoglycerols [GP04]	diacylglycerophosphomonoradylglycerols [GP0409]
diacylglycerophosphomonoradylglycerols [GP0409]	LION:0000066
glycerophosphoglycerols [GP04]	diacylglycerophosphoacylglycerols
diacylglycerophosphoacylglycerols	LION:0012449
glycerophosphoglycerols [GP04]	monoacylglycerophosphomonoradylglycerols [GP0410]
monoacylglycerophosphomonoradylglycerols [GP0410]	LION:0000067
glycerophosphoglycerols [GP04]	1-acyl,2-alkylglycerophosphoglycerols [GP0411]
1-acyl,2-alkylglycerophosphoglycerols [GP0411]	LION:0000068
glycerophospholipids [GP]	glycerophosphoglycerophosphates [GP05]
glycerophosphoglycerophosphates [GP05]	LION:0000015
glycerophospholipids [GP]	glycerophosphoinositol monophosphates [GP07]
glycerophosphoinositol monophosphates [GP07]	LION:0000016
glycerophospholipids [GP]	glycerophosphoinositol bisphosphates [GP08]
glycerophosphoinositol bisphosphates [GP08]	LION:0000017
glycerophospholipids [GP]	glycerophosphoinositol trisphosphates [GP09]
glycerophosphoinositol trisphosphates [GP09]	LION:0000018
glycerophospholipids [GP]	glycerophosphates [GP10]
glycerophosphates [GP10]	diacylglycerophosphates [GP1001]
diacylglycerophosphates [GP1001]	LION:0000069
